time,Gphi,Gpsi,Ggamma,mass,Px,Py,Pz,Vx,Vy,Vz,Ma,H,semi_major_axis,time_to_go 
147.809000,31.354200,-0.500000,0.000000,121141.810389,93418.013816,76172.490350,-64441.852727,2176.654662,1175.772064,-430.751095,0.000000,77186.153963,3400152.757599,328.318365,
147.810000,31.354200,-0.500000,0.000000,121141.501310,93420.190474,76173.666119,-64442.283478,2176.661643,1175.766834,-430.750927,0.000000,77187.365521,3400153.953207,328.318365,
147.811000,31.404200,-0.550000,0.000000,121141.192231,93422.367139,76174.841883,-64442.714229,2176.668620,1175.761609,-430.750752,0.000000,77188.577075,3400155.148573,328.308534,
147.812000,31.404200,-0.550000,0.000000,121140.883152,93424.543811,76176.017642,-64443.144980,2176.675598,1175.756385,-430.750577,0.000000,77189.788624,3400156.343946,328.308534,
147.813000,31.404200,-0.550000,0.000000,121140.574073,93426.720490,76177.193396,-64443.575730,2176.682575,1175.751161,-430.750401,0.000000,77191.000169,3400157.539324,328.308534,
147.814000,31.404200,-0.550000,0.000000,121140.264994,93428.897176,76178.369145,-64444.006481,2176.689553,1175.745937,-430.750226,0.000000,77192.211709,3400158.734707,328.308534,
147.815000,31.404200,-0.550000,0.000000,121139.955915,93431.073869,76179.544888,-64444.437231,2176.696530,1175.740712,-430.750051,0.000000,77193.423245,3400159.930096,328.308534,
147.816000,31.404200,-0.550000,0.000000,121139.646836,93433.250569,76180.720626,-64444.867981,2176.703508,1175.735488,-430.749875,0.000000,77194.634777,3400161.125490,328.308534,
147.817000,31.404200,-0.550000,0.000000,121139.337757,93435.427276,76181.896359,-64445.298730,2176.710485,1175.730264,-430.749700,0.000000,77195.846305,3400162.320890,328.308534,
147.818000,31.404200,-0.550000,0.000000,121139.028678,93437.603990,76183.072087,-64445.729480,2176.717463,1175.725039,-430.749525,0.000000,77197.057828,3400163.516295,328.308534,
147.819000,31.404200,-0.550000,0.000000,121138.719599,93439.780711,76184.247809,-64446.160230,2176.724440,1175.719815,-430.749349,0.000000,77198.269346,3400164.711705,328.308534,
147.820000,31.404200,-0.550000,0.000000,121138.410520,93441.957439,76185.423526,-64446.590979,2176.731418,1175.714591,-430.749174,0.000000,77199.480861,3400165.907121,328.308534,
147.821000,31.454200,-0.600000,0.000000,121138.101441,93444.134174,76186.599238,-64447.021728,2176.738391,1175.709373,-430.748991,0.000000,77200.692371,3400167.102294,328.298696,
147.822000,31.454200,-0.600000,0.000000,121137.792362,93446.310916,76187.774945,-64447.452477,2176.745365,1175.704155,-430.748809,0.000000,77201.903876,3400168.297473,328.298696,
147.823000,31.454200,-0.600000,0.000000,121137.483283,93448.487665,76188.950647,-64447.883225,2176.752339,1175.698937,-430.748626,0.000000,77203.115377,3400169.492657,328.298696,
147.824000,31.454200,-0.600000,0.000000,121137.174204,93450.664421,76190.126343,-64448.313974,2176.759313,1175.693719,-430.748443,0.000000,77204.326874,3400170.687847,328.298696,
147.825000,31.454200,-0.600000,0.000000,121136.865125,93452.841183,76191.302034,-64448.744722,2176.766286,1175.688501,-430.748261,0.000000,77205.538367,3400171.883042,328.298696,
147.826000,31.454200,-0.600000,0.000000,121136.556046,93455.017953,76192.477720,-64449.175471,2176.773260,1175.683283,-430.748078,0.000000,77206.749855,3400173.078242,328.298696,
