time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,altitude,delta_pos_x,delta_pos_y,delta_pos_z,delta_vel_x,delta_vel_y,delta_vel_z,phi_deg,psi_deg,time_to_go,sma,eccentricity,inclination_deg,target_sma,target_ecc,target_inc_deg
205.8,228199.8119,122724.4357,-69253.54061,2675.437366,685.9589033,-302.3340442,103426.58,128107.9779,-1199635.088,77502.23569,84559.75939,-5001.615134,2425.089403,-12.30854417,18.38202994,-2.306485054,261.8971087,3467128.158,0.8850265001,94.14372905,6740599.4,0.02402729,97.461979
206.8,230879.7791,123407.2401,-69555.62426,2684.502165,679.6494619,-301.8342017,103109.635,128888.3399,-1196955.121,78185.04009,84257.67574,-4992.550335,2418.779962,-11.80870169,18.2927749,-2.264295554,260.9032042,3468774.405,0.8842375197,94.16808475,6740599.4,0.02402729,97.461979
207.8,233568.8263,124083.7337,-69857.21092,2693.597313,673.3374052,-301.3400606,102792.69,129663.8157,-1194266.074,78861.53375,83956.08908,-4983.455187,2412.467905,-11.31456065,18.2033951,-2.222146185,259.909303,3470431.659,0.8834427913,94.19224428,6740599.4,0.02402729,97.461979
208.8,236266.9839,124753.914,-70158.3063,2702.722989,667.0226584,-300.8516527,102475.745,130434.4147,-1191567.916,79531.714,83654.9937,-4974.329511,2406.153158,-10.82615268,18.11389039,-2.180037506,258.915405,3472100.036,0.882642268,94.21620846,6740599.4,0.02402729,97.461979
209.8,238974.2825,125417.7781,-70458.91614,2711.879373,660.7051462,-300.3690096,102158.8,131200.1466,-1188860.617,80195.57814,83354.38386,-4965.173127,2399.835646,-10.34350961,18.02426062,-2.137970083,257.9215103,3473779.654,0.8818359022,94.23997814,6740599.4,0.02402729,97.461979
210.8,241690.753,126075.3234,-70759.04625,2721.066646,654.3847926,-299.8921634,101841.855,131961.0208,-1186144.147,80853.12335,83054.25375,-4955.985854,2393.515293,-9.866663439,17.93450564,-2.09594449,256.9276188,3475470.632,0.8810236458,94.26355414,6740599.4,0.02402729,97.461979
211.8,244416.4262,126726.5468,-71058.70241,2730.284991,648.0615212,-299.4211463,101524.91,132717.047,-1183418.474,81504.34675,82754.59759,-4946.767509,2387.192021,-9.395646323,17.8446253,-2.053961306,255.9337306,3477173.091,0.8802054503,94.28693729,6740599.4,0.02402729,97.461979
212.8,247151.3334,127371.4454,-71357.89049,2739.534592,641.735255,-298.9559906,101207.965,133468.2348,-1180683.567,82149.24539,82455.40951,-4937.517908,2380.865755,-8.930490608,17.75461946,-2.012021121,254.9398456,3478887.152,0.8793812666,94.31012842,6740599.4,0.02402729,97.461979
213.8,249895.5058,128010.0162,-71656.61636,2748.815637,635.4059165,-298.4967288,100891.02,134214.5938,-1177939.394,82787.81624,82156.68364,-4928.236863,2374.536417,-8.471228812,17.66448796,-1.97012453,253.9459639,3480612.94,0.8785510451,94.33312835,6740599.4,0.02402729,97.461979
214.8,252648.9752,128642.2562,-71954.88593,2758.128313,629.0734278,-298.0433936,100574.075,134956.1337,-1175185.925,83420.05618,81858.41407,-4918.924187,2368.203928,-8.017893634,17.57423065,-1.928272135,252.9520856,3482350.58,0.8777147357,94.3559379,6740599.4,0.02402729,97.461979
